sudoku_size,strategy,initial_clauses,runtime,runtime_fmt,backtracks,branches,unit_clauses,multiple_solutions
4,0,6,0.0065460205078125,0:00:00.006,0,0,58,False
4,0,4,0.005311012268066406,0:00:00.005,0,0,60,False
4,0,4,0.004627227783203125,0:00:00.004,0,0,60,False
4,0,6,0.0043718814849853516,0:00:00.004,0,0,58,False
4,0,4,0.004392862319946289,0:00:00.004,0,0,60,False
4,0,4,0.004282236099243164,0:00:00.004,0,0,60,False
4,0,4,0.0044133663177490234,0:00:00.004,0,0,60,False
4,0,4,0.007875919342041016,0:00:00.007,0,0,60,False
4,0,4,0.005099058151245117,0:00:00.005,0,0,60,False
4,0,6,0.004334211349487305,0:00:00.004,0,0,58,False
4,0,6,0.004353761672973633,0:00:00.004,0,0,58,False
4,0,6,0.004452228546142578,0:00:00.004,0,0,58,False
4,0,6,0.004446983337402344,0:00:00.004,0,0,58,False
4,0,6,0.004439115524291992,0:00:00.004,0,0,58,False
4,0,4,0.004419088363647461,0:00:00.004,0,0,60,False
4,0,6,0.004750728607177734,0:00:00.004,0,0,58,False
4,0,6,0.00484919548034668,0:00:00.004,0,0,58,False
4,0,6,0.005813121795654297,0:00:00.005,0,0,58,False
4,0,6,0.0048220157623291016,0:00:00.004,0,0,58,False
4,0,6,0.0046079158782958984,0:00:00.004,0,0,58,False
4,0,6,0.0045318603515625,0:00:00.004,0,0,58,False
4,0,6,0.004591226577758789,0:00:00.004,0,0,58,False
4,0,6,0.0041730403900146484,0:00:00.004,0,0,58,False
4,0,4,0.0042798519134521484,0:00:00.004,0,0,60,False
4,0,4,0.004296779632568359,0:00:00.004,0,0,60,False
4,0,4,0.005071878433227539,0:00:00.005,0,0,60,False
4,0,6,0.00584864616394043,0:00:00.005,0,0,58,False
4,0,4,0.004585981369018555,0:00:00.004,0,0,60,False
4,0,4,0.004342079162597656,0:00:00.004,0,0,60,False
4,0,6,0.004224061965942383,0:00:00.004,0,0,58,False
4,0,6,0.005461215972900391,0:00:00.005,0,0,58,False
4,0,4,0.005060911178588867,0:00:00.005,0,0,60,False
4,0,4,0.00444483757019043,0:00:00.004,0,0,60,False
